SYMBOL	ENSEMBL	chrisName
IFNG	ENSG00000111537	IFNG
STAT1	ENSG00000115415	STAT
STAT2	ENSG00000170581	STAT
STAT3	ENSG00000168610	STAT
STAT4	ENSG00000138378	STAT
STAT5A	ENSG00000126561	STAT
STAT5B	ENSG00000173757	STAT
STAT6	ENSG00000166888	STAT
EIF2AK2	ENSG00000055332	PKR
OAS1	ENSG00000089127	OAS1
GZMB	ENSG00000100453	GZMB
PRF1	ENSG00000180644	PRF1
IL10	ENSG00000136634	IL10
IL15	ENSG00000164136	IL15
TNF	ENSG00000232810	TNFA
TNF	ENSG00000204490	TNFA
TNF	ENSG00000223952	TNFA
TNF	ENSG00000228978	TNFA
TNF	ENSG00000230108	TNFA
TNF	ENSG00000228321	TNFA
TNF	ENSG00000206439	TNFA
TNF	ENSG00000228849	TNFA
IL12A	ENSG00000168811	IL12
IL12B	ENSG00000113302	IL12
IL17A	ENSG00000112115	IL17A
CD3D	ENSG00000167286	CD3
CD3E	ENSG00000198851	CD3
CD3G	ENSG00000160654	CD3
CD4	ENSG00000010610	CD4
TRAC	ENSG00000277734	TCR
TRBC2	ENSG00000211772	TRB
BCR	ENSG00000186716	BCR
CD19	ENSG00000177455	CD19
MS4A1	ENSG00000156738	CD20
CXCR3	ENSG00000186810	CXCR3
CCR6	ENSG00000112486	CCR6
ITGAE	ENSG00000083457	CD103
CD69	ENSG00000110848	CD69
ITGAL	ENSG00000005844	CD11A
ITGA4	ENSG00000115232	CD49D
CXCL9	ENSG00000138755	CXCL9
CXCL10	ENSG00000169245	CXCL10
CXCL11	ENSG00000169248	CXCL11
